CODCLAVECICBENEFICIARIO|CODCLAVECICSOLICITANTE|PERIODO|FECDIA|HORINITRANSACCION|CODSUCAGE|CODSESION|CODINTERNOTRANSACCION|CODTRANSACCIONVENTANILLA|DESTRANSACCIONVENTANILLA|ACTV_BENEFICIARIO|TIPPER_BENEFICIARIO|FLG_FFNN_BENEFICIARIO|FLG_FFNN_SOLICITANTE|TIPBANCA_BENEFICIARIO|TIPBANCA_SOLICITANTE|MTOTRANSACCION|TIPPER_SOLICITANTE|DESBANCA_BENEFICIARIO|DESBANCA_SOLICITANTE|FECONS_BENEFICIARIO|FECONS_SOL|FLG_AN_BENEFICIARIO|FLG_AN_SOLICITANTE|FLG_REL|FLG_ROS_BEN|FLG_ROS_SOL
5097808|1619226|202312|19/12/23|11:47:11|475000|302|801223947904|117|Credipago without validation|5190|E|1|0|C|P|1074090.00|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |14/07/05||1|0|0|1|0
24558617|10409046|202312|16/12/23|13:09:41|193054|185|902657850356|62|Depósito Cte|9309|E|0|1|P|P|205000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |27/04/16||1|0|1|1|0
11230255|11230255|202312|14/12/23|14:00:26|191020|244|801221908240|128|Pago SUNAT formulario 1662|0091|P|0|0|P|P|412013.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|1|1
11230255|11230255|202312|14/12/23|14:01:47|191020|244|801221909337|128|Pago SUNAT formulario 1662|0091|P|0|0|P|P|460027.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|1|1
3831900|2703689|202312|05/12/23|12:47:28|194007|201|902653703673|62|Depósito Cte|7290|E|1|0|E|P|490722.00|P|EMPRESA                            |BANCA PERSONAL                     |17/06/03||0|1|0|0|1
1078657|16619112|202312|07/12/23|13:31:14|220000|366|801219483386|60|Depósito Aho|7513|E|1|0|P|P|700010.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |13/09/60||0|0|0|1|0
2183984|7103056|202312|21/12/23|17:48:12|194016|431|801225533858|60|Depósito Aho|4520|P|1|0|P|P|370250.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|1|0
4324047|1439435|202312|26/12/23|13:35:36|215010|242|801226782996|62|Depósito Cte|5122|E|1|0|P|P|214950.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |04/02/04||0|0|0|1|0
3701285|3701285|202312|12/12/23|13:21:30|215002|501|902655819140|60|Depósito Aho|9500|P|0|0|P|P|290000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0
16338476|28428111|202312|30/12/23|13:19:53|365002|194|801229210925|60|Depósito Aho|0099|P|0|0|P|P|447000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0
928059|11731854|202312|29/12/23|18:29:01|405000|799|801228858138|115|Credipago with partial validation|2520|E|1|0|E|P|234406.34|P|EMPRESA                            |BANCA PERSONAL                     |07/05/98||0|0|0|0|0
12232637|12232637|202312|14/12/23|13:22:42|560000|202|902656795500|107|Pago de Credito ALS|1541|P|1|1|P|P|259978.19|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0
323213|13775266|202312|28/12/23|09:30:10|405003|5|801227703780|117|Credipago without validation|1531|E|1|0|E|P|241099.80|P|EMPRESA                            |BANCA PERSONAL                     |14/12/71||0|0|0|0|0
323213|13775266|202312|30/12/23|10:33:02|405003|138|801228987782|117|Credipago without validation|1531|E|1|0|E|P|327845.90|P|EMPRESA                            |BANCA PERSONAL                     |14/12/71||0|0|0|0|0
378418|2305424|202312|27/12/23|10:53:33|194016|78|801227200908|62|Depósito Cte|9309|E|1|1|P|P|201740.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |27/12/94||0|0|1|0|0
25319164|197826|202312|07/12/23|18:19:05|194013|387|902654987250|62|Depósito Cte|9309|E|1|1|P|P|490000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |26/12/19||0|0|1|0|1
21835|21835|202312|29/12/23|12:44:21|550000|162|902662539315|62|Depósito Cte|9309|P|1|1|P|P|200000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0
25348583|9374420|202312|19/12/23|17:48:39|430000|346|902658929899|107|Pago de Credito ALS|5233|E|1|0|P|P|214395.01|P|BANCA PERSONAL                     |BANCA PERSONAL                     |09/02/21||0|0|1|0|0
6486795|6486795|202312|22/12/23|15:44:00|193011|434|801225972017|60|Depósito Aho|0091|P|1|1|P|P|200000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0
6231775|1227549|202312|12/12/23|12:54:13|550000|187|902655797177|62|Depósito Cte|4520|E|1|1|P|P|218000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |30/12/03||0|0|0|0|0
12844012|12844012|202312|22/12/23|10:41:04|380000|138|801225667850|62|Depósito Cte|5122|E|1|1|C|C|210280.00|E|BANCA CORPORATIVA                  |BANCA CORPORATIVA                  |25/03/14|25/03/14|0|0|0|0|0
12844012|12844012|202312|07/12/23|16:34:01|380000|599|801219657870|62|Depósito Cte|5122|E|1|1|C|C|207170.00|E|BANCA CORPORATIVA                  |BANCA CORPORATIVA                  |25/03/14|25/03/14|0|0|0|0|0
4860036|3499229|202312|01/12/23|11:41:41|193012|150|902652305608|84|Emision de Cheques de Ger|0099|P|0|1|P|P|377032.85|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0
8672384|21226791|202312|22/12/23|11:48:30|193055|85|902660169104|62|Depósito Cte|6712|E|1|0|E|P|276995.00|P|EMPRESA                            |BANCA PERSONAL                     |12/02/09||0|0|0|0|0
8672384|21226791|202312|23/12/23|10:07:12|193055|27|902660582369|62|Depósito Cte|6712|E|1|0|E|P|275945.00|P|EMPRESA                            |BANCA PERSONAL                     |12/02/09||0|0|0|0|0
70555|70555|202312|26/12/23|11:34:36|380000|189|801226662602|62|Depósito Cte|6021|E|1|1|E|E|461960.00|E|EMPRESA                            |EMPRESA                            |30/01/91|30/01/91|0|0|0|0|0
28088704|149426|202312|30/12/23|10:58:35|200000|109|902662989954|115|Credipago with partial validation|7414|E|1|0|C|P|357000.00|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |02/11/16||0|0|0|0|0
